44473188,vipdis_py,"RT @halsey: I have been trying to figure out how to help more directly so I have complied a list of organizations. I’ve donated to a few, a…",2020-05-28
80374962,quawzilla,"Protester not armed, not threatening anyone brutally attacked by #AmericanStasiForces to no avail 💪🏽#Resisters #BlackLivesMatter #ResignNowTrump https://t.co/An4lqv7QXy",2020-07-19
35756585,LohrerAlex,"RT @YourAnonCentral: Regime security forces shove an elderly man in Niagara Square to the ground giving him a severe head injury, status un…",2020-06-05
76222804,Taepingu_,"@sopeugh @Ib__Me @jikooksolar @anyartistics @tnbhvibes @urreacrown @sianyfeeI @vxruan @emanuel_sdn @cucayan @bot4nico @trindadedott @Lhaminha___ @andrestrutivel @lara_lops @helobarce @OlimpioYure @VBrrtt @feeh_calil @Luisabeze2 @inaaziio @JullyLrry @majulcs @malu_cani @larissinhalms @laladuds @pauladudafr @gabizinhafp @kayroiwry @lihalves_s @hosslr @troyfav @detailsgriggs @angelsjxdn @goldenhossler @ifhudick @jadenxlowkey @skamhossler @aboutpankow @addisonpoems @ifhossler @baeavanii @minlovelly @rmsadistic @seoksinger @jmgolds @lovhope @ygvantee @taehytears @bruluvjimin #BlackLivesMatter 
#VidasNegrasImpotam",2020-06-01
81348283,JK4LON3,RT @fatallovecth: DO NOT TRUST THE MEDIA! DO NOT TRUST THE MEDIA! DO NOT TRUST THE MEDIA! DO NOT TRUST THE MEDIA! DO NOT TRUST THE MEDIA! D…,2020-06-02
60830785,LLexposed_,I just pray thag everyone who is protesting right now is safe✊🏾 #BlackLivesMatter,2020-05-28
79444274,babouviste,"RT @Leelako: It’s no longer only about selling weapons to Saudi royal family to massacre #Yemen-is, UK moves to selling tear gas to US poli…",2020-07-29
42821525,TravisD1983,"How does @JoeBiden who was in Washington DC for 40 years, 8 as VP, get to act like an outsider that's going to solve anything?

People like Joe are the problem! 

#BlackLivesMatter
#GeorgeFloyd",2020-06-02
18315111,jessica_steele7,"RT @jvplive: Jewish Voice for Peace statement: In solidarity with the people of Baltimore:
http://t.co/LNBSkNokRU 
#FreddieGray http://t.co…",2015-04-29
29891159,persona15m,RT @OhioPJP: We want justice for all of our children. Regardless of what they look like. #TyreKing #BlackLivesMatter https://t.co/6CCl30QNOj,2016-10-03
13226785,anielnotdaniel,RT @Nettaaaaaaaa: Crowd growin and so are the police #AntonioMartin #Berkley #Ferguson https://t.co/lmkaMRNJWA,2014-12-24
19631428,DolamaRey,RT @feministculture: #SayHerName #BlackLivesMatter http://t.co/kVa1kiiXno,2015-05-22
51443763,legdesu,RT @YourAnonCentral: #blacklivesmatter https://t.co/wZijFujgBX,2020-06-10
19152886,rcromwell4,.@IAMMGraham: Why Isn’t The Right Defending Freddie Gray?: http://t.co/RmWer8vRuD http://t.co/TvevSmT5zF,2015-05-05
75380182,emma_matters,Police brutality: A historian explains how racist policing took over US cities - ⁦@voxdotcom⁩ #PoliceThePolice #PoliceBrutality #PoliceReformNow #PoliceReform #BlackLivesMatter  https://t.co/qtvYJMlsyK,2020-06-06
40497660,benn_sml,RT @Conflits_FR: 🇫🇷 FLASH - Environ un millier de personnes sont rassemblées devant la cour d’assises de #Lyon. Tous manifestent pour deman…,2020-06-02
23448769,MrSinister53,RT @bleu_ruby: Presence of cameras may invite some to the protest but what's exacerbating the situation is the LACK OF AN ARREST OF THE KIL…,2014-08-19
48561244,ksjluvsz,"RT @kinokoknj: if you see this and i know you did,,pls reply w/ #BlackLivesMatter https://t.co/nSCIOOlIxZ",2020-05-28
64922321,getrarted,"RT @JoshuaPotash: I don’t know why these aren’t trending anymore, but across the country #BlackLivesMatter protests haven’t stopped.

This…",2020-06-29
45098800,Innns_,"RT @Conflits_FR: 🇺🇸 URGENT - #DerekChauvin, ex-#policier de #Minneapolis, est désormais accusé d'homicide volontaire envers #GeorgeFloyd. (…",2020-06-03
4198901,zaniyaksmith,RT @litemigo: This man is fina go home free with a pat on his back for murdering an innocent African American just like Zimmerman smh #Ferg…,2014-11-25
79135602,FAMDOC7,RT @TheLeoTerrell: #BlackLivesMatter is a criminal organization that demands shakedown money.  Will a single #Democrat call them out? @sean…,2020-08-03
36206367,MauroLato,RT @MurielBowser: #BlackLivesMatter https://t.co/OQg6977n5r,2020-06-05
46819364,Erika62453344,RT @loev_pjm: Este hombre estaba rogando de rodillas  para que por favor esto pare pero el simplemente fu ignorado y arrestado (el no opuso…,2020-06-03
10074323,ManInPit,Tell the NYPD to Fire the Officer Who Killed Eric Garner! http://t.co/3KaIYmRlKI,2014-12-04
53229594,pnpsfw,RT @zornitsaxx: อีกหนึ้งคนดังที่มาร่วมชุมนุมเมื่อวันเสาร์นั่นก็คือเจ้าไมค์บี๋ หรือ ไมเคิล บี จอร์แดน นักแสดงนำจากภาพยนตร์เรื่อง Black Panth…,2020-06-08
64957952,Kendricknow,"RT @JoshuaPotash: I don’t know why these aren’t trending anymore, but across the country #BlackLivesMatter protests haven’t stopped.

This…",2020-06-29
74256498,shefox_,RT @YourAnonCentral: Multiple reports across the United States that security forces are deliberately kneeling on the necks of captured prot…,2020-05-31
604064,alyssalonglegs,RT @eyeFLOODpanties: Earlier leavin #ripmikebrown funeral #ferguson #saintlouis http://t.co/36oWDvymI8,2014-08-25
7461896,now_content,Check... #tamirrice http://t.co/kQHXqzAGRC #breaktheinternet #news #viral #now #trendingcontentnow #mustread #tcn,2014-11-26
240409,AmBeautifulShow,RT @GREEDKILLS: Unarmed Civilian #EricGarner #justice #Ferguson #BlackLivesMatter #WeWillNotGoBack @p0kad0tH0tSp0t http://t.co/HU7EcQgPob,2014-08-23
20140682,ettfyndigtnamn,RT @occupythemob: What the wife of the #ferguson chief of police has to say on her Facebook http://t.co/dGdkegmfc4,2014-08-14
71278286,canyonzjm,"RT @ZaynNewsBRA: Não está mais nos trends, mas isso não significa que devemos esquecer! 
#VidasNegrasImportam #BlackLivesMatter",2020-11-20
1434683,ukuleledan,"RT @deray: And if you haven't already, sign up for the daily #Ferguson newsletter at http://t.co/hjLIzA7f3m. Stay connected. Stay informed.",2014-09-16
57977994,jzatinaz,"RT @YourAnonCentral: A 22-year-old student in Columbus, Sarah Grossman, has been killed with tear gas by @ColumbusGov's police at a #George…",2020-06-10
6818753,TheShandaRenee,@cnnbrk @CNN StepFather &amp; Mother of  #MikeBrown shld hv been given the courtesy of being told B4 it was ANNOUNCED 2 the world. Disrespectful,2014-11-26
62256772,dolphinbvbbles,"RT @yasmeenbaee: 📍Detroit, Michigan. May 29th 2020. #BlackLivesMatter #NoJusticeNoPeace https://t.co/tCqnfImCvc",2020-05-30
50392816,jungkookbiddie,RT @thisisgara: People barricading to stop people from looting. Unbelievable. NO fucking LOOTING PLZ. PEACEFUL PROTESTS. THIS IS THE WAY.…,2020-05-31
33299372,iolaxgrubb,RT @CarrieHFletcher: RIP Philando Castile. Shot 4 times whilst reaching for his ID that the officer ASKED him to get. #BlackLivesMatter,2016-07-07
65942922,KittyTrill,@EqualityNoone @davearrrers @lordrational @SkySportsNews So to you the hashtag #BlackLivesMatter is synonymous with the BLM organisation ? There is no possibility of reading the above as being a reflection on the phrase rather than the group you despise?,2020-06-23
45881312,SWIFTHATS_,"RT @shawnhoneyx: Admiro profundamente a todas las personas que ahora mismo están protestando, arriesgando sus vidas, gritando muy fuerte pa…",2020-06-03
62335559,salpphic,!!!! #BlackLivesMatter #RAISETHEDEGREE #JusticeForGeorgeFlyod https://t.co/hGp2LvAbBe https://t.co/1TMNSpuKsr,2020-05-30
66428915,martineshoux,RT @MedellinBlue: MAIS IL RÉSISTE MÊME PAS PUTAIN ! ÇA M’AGACE LÀ !!!!! #BlackLivesMatter,2020-06-21
17734337,blkswn___,@EsKayWhyEE change how ppl see us? I don't agree but to each their own. #BlackLivesMatter #BlackWomensLivesMatter #blackmenlivesmatter ❤️,2015-04-27
80012031,BigSportsShow,RT @550KTRS: How will the @Cardinals acknowledge #BlackLivesMatter before their first regular season game? @Ben_Fred discusses with @McGraw…,2020-07-24
53686807,IamAmaka,Boris and his boyfriend Trump using the same word ‘Thug’ when it comes to #BlackLivesMatter https://t.co/NiG4oGOu7Z,2020-06-07
46076130,lcurtis_8,My heart is breaking. The bias we are fighting against is the same bias we are all using against each other on social media. #BlackLivesMatter,2020-06-03
2418472,SophiaLamar1,"RT @OBS_StL: Youth Are on the Frontlines in #Ferguson, and They Refuse to Back Down!  http://t.co/bzME7MmmIl via @thenation",2014-10-18
54157787,destabxlxse,"RT @TomMaloneJr: People want to talk about if NOW is the time to protest during a pandemic.

People have been dying of COVID for 6 months.…",2020-06-07
54754775,alissavasi,RT @JoshuaPotash: The Paris #BlackLivesMatter protest today has to be seen to be believed. https://t.co/p61geun2er,2020-06-15
5690885,MarkVikingstad,#BlackLivesMatter #AllLivesMatter #EVERYLIFEMATTERS,2014-11-25
62026503,girlsIovejoy,"can people take a few hours to not tweet about kpop? i know a lot of you guys aren’t from america or not black or simply do not care but please spread the word by rt the hashtags and petitions, it does a lot #BlackLivesMatter #GeorgeFloyd",2020-05-27
28671324,YatPundit,"RT @TheRoot: If the last 10 years could be summarized in one word, that word would be:

“Nah.” 

From #BlackLivesMatter to Auntie Maxine te…",2019-12-22
50404882,camerongrey,.@andrewkimmel is claiming that the (I think #Minneapolis) police slashed every tire in this parking lot. #georgefloyd #minneapolisprotest #BlackLivesMatter #PoliceThePolice https://t.co/ZY30970vRh https://t.co/EueRezUZNL,2020-05-31
79084260,JenCallahan7,RT @IGD_News: Racist far-Right activists in Northern California talk about vandalizing comic book store only days after church was the vict…,2020-08-04
6491045,shannboogie,"RT @KiaJD: Folks, @jbouie is smart &amp; measured on a variety of subj but I direct your attn specifically twd his writing/commentary re #Fergu…",2014-11-25
17054242,BKimberlyC,"RT @ReignOfApril: Watch for the immediate derailing. This will become a ""should older cops still be on the force?"" story instead of the kil…",2015-04-12
27762700,BLMRU,"In wake of the violence in VA, we must come together.The NB-NAACP is hosting a meeting tmr
If you can make it please come. #BlackLivesMatter https://t.co/2Gc4XJE46K",2017-08-14
52681967,StephenJSkelton,"RT @fekkledfudge: When using hashtags, if you capitalize every new word Blind twitter users can actually hear the message you're saying. 
S…",2020-06-08
51410117,TaniAzevedo_,Sent to @mtpennycook . #BlackLivesMatter https://t.co/D3GhwoLqFe,2020-06-02
59276621,HolyHotdogs77,"@MattNegrin @mstorm17 Black Lives Matter But Blue Lives Mask Terror By Believing Biden's Words: ""To Shoot Him in the Leg Instead of in the Heart""
Don't Shoot Because Black Lives Matter for Floyd!
Peace and Empathy!
#BlackLivesMatter 
#BLACK_LIVES_MATTER 
#MakeAmericaGreatAgain 
https://t.co/LfB31rcqJT",2020-06-02
24111892,evan_greer,RT @neylano: 12 things white people can do now because Ferguson http://t.co/a8p6XQ8SxV via @qz #ferguson,2014-08-20
71993693,sjmawhinney,RT @DavidLammy: No.10 broke precedent and snubbed Britain’s first black archbishop for a peerage because it says the House of Lords is too…,2020-10-18
43027446,LoafHawkwing,"It's funny how a lot of people think that the ""BLM"" is just because they think that the others lives doesn't matter.. What's wrong with ya

#BlackLivesMatter https://t.co/wdzyqti8Y5",2020-05-29
29266396,tap_gary,RT @GeraldoRivera: #Houston paralyzed w anger &amp; fear at brutal killing of 7-year old #JazmineBarnes at hands of White HateMonger-composite…,2019-01-07
8878277,jim20121212,"RT @YoungBLKRepub: Most of you can't tell me one of the victims killed by Chicago, Detroit black on black violence but you know all killed …",2014-08-11
44621520,eleename,RT @YourAnonCentral: Police across New York are randomly beating pedestrians &amp; protestors. (📹 @tommiesunshine) #GeorgeFloyd #ICantBreathe #…,2020-06-04
14793975,JustChiamaka,"RT @_SayYourGrace: #BlackLivesMatter kudos Shonda, kudos.",2015-03-06
57549726,JenniferLBrewer,RT @teeniemartini: ⁦@realDonaldTrump⁩ ⁦@GOP⁩ BREED HATE Ohio Republican asks if COVID-19 numbers are possible because the ‘colored populati…,2020-06-11
77513669,Hofisrael21,"RT @benjancewicz: This occurred in 2011.

#BlackLivesMatter worldwide.

#BlackLivesMatter yesterday, today, and tomorrow.",2020-08-27
42557986,RussellBryane,"RT @DavidHarewood: Can’t sit down.
Can’t kneel down.
Can’t raise a fist.
Can’t stand still in peaceful protest.
Can’t walk in peaceful prot…",2020-06-03
23801926,ReaganGomez,"RT @ComplexMag: The KKK is raising money for Darren Wilson, the police officer who shot and killed Michael Brown: http://t.co/JjdbJuTPWq",2014-08-19
4294371,lcvelez,#EnDesarrollo #Ferguson - aumenta tensión tras anuncio de que no habrá investigación contra policía que disparó contra #MichaelBrown,2014-11-25
57082109,buozism,RT @JimMacMillan: I biked past city hall for the first time in a few days just now and all the soldiers and fences were gone and then I spo…,2020-06-11
8509994,ChenelleCovin,4 EMT Workers Suspended In Wake of Eric Garner’s Death http://t.co/ZcVO0FWWbh,2014-07-22
57929855,malgratdemar,"RT @SuzanneEvans1: Lefty Twitter is agitated about a mis-captioned photo said to be of a present day Libyan slave market, posted to suggest…",2020-06-10
41400073,psilomush,"I realised that I have no black oc's... wonder why tbh.
So I made this to solve that. His name is John. He's name is generic, just like he is. Color does not matter. #BlackLivesMatter https://t.co/HKm1tCLwMM",2020-06-07
65225804,merehut,RT @Reloaded_Kore: More than 200 white supremacist groups with thousands of members have been using an encrypted messaging app to plot viol…,2020-06-27
11577916,spookjoon,"RT @EricWolfson: Um, THIS! --&gt;

#ICantBreathe #EricGarner #p2 http://t.co/BLkObvhqwH",2014-12-07
32229215,brianrodrguz,RT @fam0usgreg: All Respect ❤️💙💯 #BlackLivesMatter https://t.co/5NMwcJDCvH,2016-07-09
22596100,csanberg,"RT @mattzollerseitz: ""Media, do not pass. You're getting maced next time you pass us."" Chris Hayes, MSNBC, repeating what a cop told him. #…",2014-08-18
31791909,daBull21171,RT @blackvoices: This #BlackLivesMatter photo should be seen around the world. https://t.co/V4X6BWSbpn https://t.co/AEbgr3Anzs,2016-07-11
11106340,pedocles,"RT @HuffPostPol: The grand jury in Eric Garner case wasn't asked to consider ""reckless endangerment"" charge, report says http://t.co/08KOGd…",2014-12-05
20948658,clarionledger,Ferguson police identify officer in Michael Brown shooting http://t.co/g8Lj11WYbm,2014-08-15
68035837,sensaiotis,"RT @socialiststeve6: As a white guy living in West Virginia I am applaud at the level of ignorance shown nationwide when folks puke up ""all…",2020-05-27
51095354,_qveenbee__,RT @bizzlebIazed: today in denver. protestors laid on their stomachs with their hands behind their backs for 9 minutes while screaming “I C…,2020-05-31
50312464,coffeejaelly,"RT @_DPRLIVE: SUPPORT: https://t.co/T5PxdSHqjU

#BLACKLIVESMATTER https://t.co/BkqMQil9SX",2020-05-31
52270536,SATC_Addict,"RT @TIA_EWING: Seriously @amazon, can you explain how this mask is even being sold. You definitely need to donate to #GeorgeFloyd’s family…",2020-06-09
41273072,jadisoff,"@jamarkinha daqui a pouco surge um ""poste uma ft com roupa preta pq #blacklivesmatter"" https://t.co/1j2WLzyp17",2020-06-02
65847365,julayneelle,@kyoag how about arresting Brett? #BreonnaTaylor #BlackLivesMatter https://t.co/SDlIvRrX5c,2020-06-24
76542377,Ashka_V,RT @imlauranus: Je me fais unfollow en masse sur Twitter et Instagram parce que je relais régulièrement des posts sur ce qui se passe aux E…,2020-06-01
47249590,KrazyAPEX,"RT @FlyQuest: A message from our CEO:

#GeorgeFloyd #BlackLivesMatter #ShowcaseGreatness https://t.co/2EH7GU2ixD",2020-05-28
40941935,nastyfelon,RT @arewebored: anderson cooper was just spitting... this was necessary.  #GeorgeFloyd #blacklivesmatter #cnn https://t.co/S6hjw4gYT7,2020-06-02
20894672,ASchultz901,"RT @nancywalton: We who aren't black can never understand fully growing up black, but we have hearts/ consciences &amp; can offer our support 4…",2014-08-15
72657897,QueenChan__,"RT @mefeater: You deserved better. We are so sorry they failed you. 🙏🏽

#JusticeforBreonnaTalyor #BlackLivesMatter https://t.co/YTvULrtu2x",2020-09-24
44768397,clauvolleyball1,"RT @Alyssa_Milano: Downtown, Los Angeles. 2020 #BlackLivesMatter  https://t.co/oXTYgNVBhP",2020-06-04
2296922,NeroArchie68,"RT @rolandsmartin: Remember, 20% of #Ferguson revenues came from court warrants &amp; fees in 2013. They are slapping major fines on #FergusonO…",2014-10-13
2713132,Romonaga_,RT @ChPlt: @gamma_ray239 another Liberal Democrat Senator of #MO who is anti-gun BUT has a conceal carry permit &amp; loaded 9 mil gun on her. …,2014-10-27
2705617,walkingatmrdp,Bill Maher Says Michael Brown 'Acted Like a Thug' But Did Not Deserve to Be Shot; Fans Call for Boycott of His... http://t.co/2U2BR2rGHQ,2014-10-27
64060014,redhead1558,RT @Raptors: The fight doesn’t stop. #BlackLivesMatter https://t.co/dyxUsxDQdI,2020-07-04
68448556,UrbanTake_001,#BrittanyWilliams #justiceforbrittanywilliams #BlackTwitter #BlackLivesMatter #JacksonvilleFL #Jacksonville #blackwomen #BlackLivesMatters https://t.co/QO0BSUZMX2,2020-05-20
66039310,comrade_krabs,RT @nathan_luft: Holy shit they’re tear gassing people in Lafayette again #dcprotest #blacklivesmatter https://t.co/EznXp6RrKo,2020-06-23
39170039,cz4vXUOeeWfXSPz,"RT @cocoYoshiki: #BlackLivesMatter
@YoshikiOfficial https://t.co/PBXzyDRv6W",2020-06-04
15256813,ecl326,"RT @Thelonious08: @iloanya1 @Michael2014abc

Viciously assaulted by 6'4"" 300lbs man yet has almost NO marks on his face/body at all. Makes …",2015-03-17
18359892,Hipinion_Frank,How racist is your state? How racist is @michaelpbrady for winning thousands on a game show and not helping #FreddieGray family? #hipinion,2015-04-30
36134527,beatrizwonteiro,"RT @ingridsilva: No justice No peace✊🏾
#BlackLivesMatter https://t.co/v79uMfFhWp",2020-06-05
57793545,rewatson75,"RT @CapitalJeff: The evil this man has done must not be concealed or left unpunished. Men like him running amok, unaccountable are what the…",2020-06-10
47869690,artbyiliana,"Those saying violence begets violence need to also realize that silence begets silence.

Use whatever voice you have.

#BlackLivesMatter",2020-05-28
27390097,cheybrecian,"RT @ffshoez_Key: The @Brookfield_PD have wrongly accused not only my son, but his friends for a crime they did not commit. And will not arr…",2017-12-03
42791986,Faouzi86419127,RT @Dounia_N: في #فرنسا أيضا، خرجت مساء الثلاثاء مظاهرات حاشدة للمطالبة بالعدالة للشاب أداما تراوري الذي توفي أثناء إلقاء القبض عليه من قبل…,2020-06-02
47484514,_demimariee_,@choncenomore @kingeroda #BlackLivesMatter,2020-05-28
66223676,LB19712,"RT @francescatotolo: Un’altra sparatoria al #CHAZ/#CHOP di #Seattle. Si stanno facendo fuori da soli. 
#Antifa #AntifaTerrorists #BlackLive…",2020-06-22
19629127,BartelsVictoria,"RT @CeeJayCraig: We live in a time where a guilty criminal, like Mike Brown, has a memorial plaque but a war hero, like Chris Kyle, does no…",2015-05-22
31520615,CowanChicago,"RT @Chicago_Reader: Four black teen activists were behind Monday's 1,000 strong protest  in the name of #BlackLivesMatter.
https://t.co/ZPj…",2016-07-12
25480976,OMG_MOE,"New post Ja Rule Talks #BlackLivesMatter, 50 Cent And Living A Positive Life https://t.co/XMmZqECsSB",2015-10-30
25859887,brookstravis,RT @VeryWhiteGuy: Anyone who says all lives in refrain to #BlackLivesMatter is doing so deliberately as a weapon. The ignorance excuse is n…,2015-09-14
22233420,nekolot,"RT @AntonioFrench: These men have come to #Ferguson, MO all the way from India, where they live in exile, to bring a message of PEACE.✌️ ht…",2014-08-18
32109526,_CandyG,RT @mikalams: Y'all should utilize the WHEREU app. It locates reliable black-owned businesses for every need. #BlackLivesMatter https://t.c…,2016-07-09
28263620,chisomstella,"RT @ziadtheactivist: .@opalayo @aliciagarza @OsopePatrisse It is my hope that I can learn to be a more constructive/knowledgeable ally, &amp; t…",2017-04-06
12428889,thevin3s,RT @TalbertSwan: Powerful display of solidarity by congressional staffers! #BlackLivesMatter #ICantBreathe http://t.co/rt3VIz7kLk http://t.…,2014-12-13
11606690,BEWARE4,"Crooked I (@CrookedIntriago) Lets Off Some Steam On His Eric Garner Tribute, ‘I Can’t Breathe’ http://t.co/bdTMa5P2Wx via @TSSCrew",2014-12-07
